date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:54	196375/196375	---M-Z	200	added ('OK')	text/html	etag:%22b7fd28e647a49abeafbb81c429000181;gzip%22	https://www.han.nl/opleidingen/hbo/leraar-aardrijkskunde/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-34.html	(from )
13:37:54	190364/190364	---M-Z	200	added ('OK')	text/html	etag:%22c7f7516008c5fc4f340c34f893fb4d65;gzip%22	https://www.han.nl/opleidingen/hbo/leraar-biologie/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-36.html	(from )
13:37:54	197347/197347	---M-Z	200	added ('OK')	text/html	etag:%227ccef3ee043edf1318dd30456a1aaaa2;gzip%22	https://www.han.nl/opleidingen/hbo/international-social-work-engelstalig/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-32.html	(from )
13:37:55	193008/193008	---M-Z	200	added ('OK')	text/html	etag:%2281563a0cc8d397e26594f707c4e6aa85;gzip%22	https://www.han.nl/opleidingen/hbo/leraar-duits/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-37.html	(from )
13:37:55	190443/190443	---M-Z	200	added ('OK')	text/html	etag:%22c1f4a293da5187dbf36253b1b93fb1d4;gzip%22	https://www.han.nl/opleidingen/hbo/leraar-economie/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-38.html	(from )
13:37:56	194085/194085	---M-Z	200	added ('OK')	text/html	etag:%2220d70093e0e682367e9ddaa4019119d7;gzip%22	https://www.han.nl/opleidingen/hbo/leraar-frans/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-40.html	(from )
13:37:56	187972/187972	---M-Z	200	added ('OK')	text/html	etag:%221f80ab698225bad938d6b3d4d1cdbc19;gzip%22	https://www.han.nl/opleidingen/hbo/leraar-geschiedenis/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-41.html	(from )
13:37:56	196791/196791	---M-Z	200	added ('OK')	text/html	etag:%22f6807bd0be52fa5253421ba01ff450ca;gzip%22	https://www.han.nl/opleidingen/hbo/leraar-engels/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-39.html	(from )
13:37:56	194629/194629	---M-Z	200	added ('OK')	text/html	etag:%2239a210ee4aa75007df00dde59566d120;gzip%22	https://www.han.nl/opleidingen/hbo/leraar-lichamelijke-opvoeding/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-42.html	(from )
13:37:57	188189/188189	---M-Z	200	added ('OK')	text/html	etag:%22ae2b00c1ec2450858c4a8f3a0792e50d;gzip%22	https://www.han.nl/opleidingen/hbo/leraar-natuurkunde/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-43.html	(from )
13:37:57	217844/217844	---M-Z	200	added ('OK')	text/html	etag:%226d4171539cc08f614c2c19f42ac481cd;gzip%22	https://www.han.nl/opleidingen/hbo/leraar-nederlands/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-44.html	(from )
13:37:58	197699/197699	---M-Z	200	added ('OK')	text/html	etag:%2222c5d0e677181d63b179d2b54a7d13bc;gzip%22	https://www.han.nl/opleidingen/hbo/leraar-wiskunde/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-46.html	(from )
13:37:58	191985/191985	---M-Z	200	added ('OK')	text/html	etag:%226ff802381054d43ec1bd508bc4c1f9bd;gzip%22	https://www.han.nl/opleidingen/hbo/leraar-scheikunde/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-45.html	(from )
13:37:59	195640/195640	---M-Z	200	added ('OK')	text/html	etag:%22c49a8f9bde993105255d481046d63ca5;gzip%22	https://www.han.nl/opleidingen/hbo/logopedie/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-49.html	(from )
13:37:59	207139/207139	---M-Z	200	added ('OK')	text/html	etag:%2220dd89c8c20ad4b5cfc6ed342b783ce3;gzip%22	https://www.han.nl/opleidingen/hbo/life-sciences/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-47.html	(from )
13:37:59	291159/291159	---M-Z	200	added ('OK')	text/html	etag:%2246e703d8c24771c6e7d7cbd575f637c6;gzip%22	https://www.han.nl/opleidingen/hbo/logistics-management/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-48.html	(from )
13:37:59	234439/234439	---M-Z	200	added ('OK')	text/html	etag:%22da87844ede46cd4c15297ba94097c1d9;gzip%22	https://www.han.nl/opleidingen/hbo/mechanical-engineering/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-50.html	(from )
13:38:00	191647/191647	---M-Z	200	added ('OK')	text/html	etag:%22cebe89bb4045ee79a98149cd1f2f0616;gzip%22	https://www.han.nl/opleidingen/hbo/mondzorgkunde/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-52.html	(from )
13:38:00	223710/223710	---M-Z	200	added ('OK')	text/html	etag:%22d707d4ac3c5e2c5d33ae2765f4941085;gzip%22	https://www.han.nl/opleidingen/hbo/medische-hulpverlening/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-51.html	(from )
13:38:00	192704/192704	---M-Z	200	added ('OK')	text/html	etag:%22dcd47ed0ead2a06dd143ed9ebb81d8d9;gzip%22	https://www.han.nl/opleidingen/hbo/pabo-alo/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-54.html	(from )
13:38:00	267861/267861	---M-Z	200	added ('OK')	text/html	etag:%221cbe70910e0175cc1fcf2124e6f7ade4;gzip%22	https://www.han.nl/opleidingen/hbo/ondernemerschap-retail-management/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-53.html	(from )
13:38:01	188253/188253	---M-Z	200	added ('OK')	text/html	etag:%2235a94a031f51f5943df5056cf861a08f;gzip%22	https://www.han.nl/opleidingen/hbo/pedagogiek/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-55.html	(from )
13:38:01	194454/194454	---M-Z	200	added ('OK')	text/html	etag:%22a7bbb63f923b4470d8a8a8e642dec0ed;gzip%22	https://www.han.nl/opleidingen/hbo/social-work/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-56.html	(from )
